#BAS,Matrix Parameter CurveSPEC,OBJECT,TYPE,NAME,IDENTIFIER,DatumDATE,RelativeCurveFLAG,OriginOffsetNB,TimeEvolutionFUNC,MatrixParmSurf0SIN,MatrixParmSurf1SIN,MatrixParSfExt0FLAG,MatrixParSfExt1FLAG,MatrixParmSurfFLAG
BAS,Matrix Parameter CurveSPEC,TRUE,TRUE,TRUE,@Constant,@Linear,@Constant,,FALSE,0,EV_AUD_SWAP,EV_AUD_SWAP,Matrix Parameter Curve,Matrix Parameter CurveSPEC
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.011077002,3,12045,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.107778703,0,12410,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.059743405,1,12410,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.060294415,2,12410,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.00831248,3,12410,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.106341842,0,12775,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.059296769,1,12775,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.062543297,2,12775,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.005790735,3,12775,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.104903366,0,13140,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.058811377,1,13140,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.064468085,2,13140,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.003492226,3,13140,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.103467516,0,13505,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.058293421,1,13505,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.066103207,2,13505,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.001398759,3,13505,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.102037992,0,13870,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.057748409,1,13870,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.067479649,2,13870,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
