BAS,ZeroSPEC,ZeroSPEC,Zero,,@Forward Rate,@Linear,FALSE,0,continuous,actual/365,%,,,AUD-SWAP,AUD-SWAP
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.049821088,6570,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.049500926,6935,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.04916933,7300,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.048827934,7665,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.048463028,8030,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.048077679,8395,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.047674442,8760,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.047255464,9125,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.046822562,9490,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.046377282,9855,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.04592095,10220,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.045454711,10585,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.044979554,10950,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.044496342,11315,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.044043332,11680,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.043617776,12045,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.043217253,12410,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.042839617,12775,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.042482961,13140,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.042145584,13505,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.041825963,13870,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.041522734,14235,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.041234665,14600,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.040960649,14965,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.040709205,15330,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.040478758,15695,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.040267877,16060,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.040075258,16425,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039899709,16790,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039740141,17155,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039595554,17520,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039465033,17885,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039347732,18250,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.039242875,18615,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.03914205,18980,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.03904503,19345,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038951604,19710,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038861575,20075,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038774761,20440,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038690993,20805,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038610114,21170,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038531976,21535,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038456443,21900,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038383387,22265,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038312687,22630,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038244232,22995,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038177916,23360,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.03811364,23725,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.038051312,24090,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037990845,24455,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037932156,24820,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037875168,25185,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037819809,25550,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037766009,25915,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037713703,26280,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.03766283,26645,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037613333,27010,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037565155,27375,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037518245,27740,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037472553,28105,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037428033,28470,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037384641,28835,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037342333,29200,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037301069,29565,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037260812,29930,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037221525,30295,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037183174,30660,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037145725,31025,ZeroSPEC,,,,,,,,,,
rm_ro,ZeroSPEC : Generic Zero Surface,Generic Zero Surface,0.037109147,31390,ZeroSPEC,,,,,,,,,,
